"de","en"
"Vorrichtung zum automatisierten Ermitteln eines auf einen Patienten abgestimmten PEEP,","device for automatically determining a positive end-expiratory pressure adjusted to a patient, comprising:"
"Insbesondere vorteilhaft ist, wenn in jede Vertiefung eine Einführschräge für ein Lösewerkzeug mündet, um auch nach zahlreichen Betriebsstunden eine ggf. festgerostete Mutter von dem Schaft der Befestigungsschraube lösen zu können.","It is also advantageous if an introduction inclination for a detachment tool opens into each recess in order to be able to detach a potentially rusted-tight nut from the shaft of the fixing screw even after many hours of operation."
"Heterocyclyl steht bevorzugt für Reste, die sich von gesättigten Heterocyclen ableiten, insbesondere für Reste, die sich vom Pyrrolidin, Piperidin, von N-Alkylpiperazinen, vom Morpholin, von Dialkylmorpholinen, vom Thiomorpholin oder Tetrahydrofuran ableiten.","Heterocyclyl preferably represents radicals which are derived from saturated heterocycles, in particular radicals which are derived from pyrrolidine, piperidine, from N-alkylpiperazines, from morpholine, from dialkylmorpholines, from thiomorpholine or tetrahydrofuran."
"1 eine Darstellung des horizontalen Schleudergussverfahrens zur Herstellung von kegelförmigen oder zylinderförmigen TiAl - Gusshalbzeugen,","1 a depiction of the horizontal centrifugal casting process for producing cone-shaped or cylindrical semifinished TiAl cast parts,"
"Für die Herstellung des Diisocyanatfreien Isocyanurats aus dem Diisocyanat bedeutet das, daß man das Diisocyanat bis zu einem Isocyanuratgehalt, der die Förderung des Reaktionsgemisches im flüssigen Zustand noch zuläßt, trimerisiert und in einem nachfolgenden Verfahrensschritt das freie Diisocyanat im Vakuum durch Dünnschichtdestillation abtrennt.","In practice, the second process has prevailed. Accordingly, in the production of diisocyanate-free isocyanurate from the diisocyanate, the diisocyanate is trimerized to an isocyanurate content which still permits handling the reaction mixture in the liquid state, and the free diisocyanate is separated in a subsequent step under vacuum by thin-film distillation."
"Somit stützt sich der Bolzen der Sicherungsschraube 42 an der einen Stirnseite des Kippbolzens 41 ab.","As a result, the bolt of the safety screw 42 is supported on the one front side of the swing bolt 41."
"Über das zu dem jeweiligen Trockner 14 weisende Ende 35 des Förderbands 30 des Hubfahrbands 20 wird nun über die Beladeseite 19 der jeweilige Trockner 14 mit der allein in der Entwässerungspresse 12 entwässerten Wäsche beladen.","The respective dryer 14, via the loading side 19, is then loaded with the laundry from which water has been removed solely in the water-removal press 12 via that end 35 of the conveyor belt 30 of the lift belt conveyor 20 which faces the respective dryer 14 ."
"Es wird vermutet, daß sie, analog zu anderen bleichenden Herbiziden, die Phytoendesaturase hemmen (Soeda, T. und Uchida, T. (1987) Pestic.","It is assumed that, analogously to other bleaching herbicides, they inhibit phytoene desaturase (Soeda, T. and Uchida, T. (1987) Pestic."
"Vorzugsweise weist die Sicherheitsvorrichtung einen in einer Führung bewegbaren Schieber auf, der eine Mehrzahl von Funktionen übernehmen kann, wobei an wenigstens einer Position des Schiebers entlang der Führung ein Signal erzeugt werden kann.","Preferably, the safety device has a slide that can be moved in a guide, which slide can take on a plurality of functions, wherein a signal can be produced at at least one position of the slide along the guide."
"Die Erfindung bezieht sich auf eine Insassenschutzeinrichtung (10) mit einem aufblasbaren Gassack (50) zum Schutz eines im Fonds eines Fahrzeugs (25) befindlichen Fahrzeuginsassen.","An occupant protection device having an inflatable airbag for protecting a vehicle occupant in the rear compartment of a vehicle."
"Im Innern der Röntgenröhre 2 ist ein um eine Achse 3 drehbarer Anodenteller 4 mit zwei unterschiedlich zur Tellerebene geneigten Brennfleckbahnen 5, 6 und zwei jeweils einer Brennfleckbahn zugeordneten Kathoden 7, 8 eingezeichnet.","Indicated in the inside of the X-ray tube 2 are an anode dish 4 rotatably mounted by means of a shaft 3 and having two focal point paths 5, 6 differently inclined relative to the dish plane, and two cathodes 7, 8 each allocated to a respective focal point path."
"Der Radikalstarter kann zusammen mit A′ und Maleinsäureanhydrid in einer Portion vorgelegt werden; er kann aber auch erst nach Erreichen der Reaktionstemperatur auf einmal zugegeben werden; oder er kann während der gesamten Reaktionszeit periodisch in kleinen Portionen oder kontinuierlich zudosiert werden.","The free radical initiator can be initially charged together with A' and maleic anhydride in one portion; however, it may be added all at once after the reaction temperature has been reached, or it may be metered in periodically a little at a time or continuously over the entire reaction time."
"Der erfindungsgemäße Mehrschichtverbund kann darüber hinaus weitere Schichten enthalten, beispielsweise eine weitere Schicht I, eine weitere Schicht II, eine Schicht aus einer Formmasse auf Basis eines aliphatischen Polyamids, eine Schicht aus einer Formmasse auf Basis eines Fluorpolymers oder eine Schicht aus einer Formmasse auf Basis eines Ethylen-Vinylalkohol-Copolymers (EVOH).","The multilayer composite according to the invention may moreover comprise further layers, for example a further layer I, a further layer II, a layer of a moulding compound based on an aliphatic polyamide, a layer of a moulding compound based on a fluoropolymer or a layer of a moulding compound based on an ethylene-vinyl alcohol copolymer (EVOH)."
"6 zeigt den Verschluß gemäß Fig.","6 is a side view partly in section of the closure cap of FIG."
"Daher ""knicken"" die Spreizstäbe 12 beim Expandieren- bzw. Komprimieren an den dritten Abschnitten 22 und können insgesamt in einem Winkel von bis zu 180° gebogen werden.","For this reason, the spreader rods 12 “buckle” at the third sections 22 during the expansion or compression, allowing them to be bent in their entirety by an angle of up to 180°."
"Wie bereits erwähnt, gibt die Taktfrequenz T io ein Zeitintervall vor, das z.B. 1,024 s beträgt.","As mentioned above, the clock frequency Tio defines a time interval, e.g., 1.024 s."
"Beispielsweise können hochfrequente Anteile der Schallwelle in gezielter, gewünschter Weise gedämpft werden, während niederfrequente Anteile ohne wesentliche Abschwächung durch den Führungskanal gelangen können.","For example, high-frequency portions of the sound wave can be damped in a specifically desired manner while low-frequency portions can pass through the guide channel without substantial damping."
"Insbesondere ist vorgesehen, dass die Klebmasse nach dem Aufschmelzen bis zu -5 °C, vorzugsweise bis zu -15 °C, weiter vorzugsweise bis zu -30 °C temperaturbeständig ist. Zudem sollte die Klebmasse nach dem Aufschmelzen auch bis zu 70 °C, vorzugsweise bis zu 80 °C, weiter vorzugsweise bis zu 100 °C temperaturbeständig sein.","Provision is made in particular for the adhesive, after melting has taken place, to be temperature-resistant to −5° C., preferably to −15° C., more preferably to −30° C. Moreover, the adhesive after melting has taken place ought also to be temperature-resistant to 70° C., preferably to 80° C., more preferably to 100° C."
"Verfahren gemäß Anspruch 8, dadurch gekennzeichnet, daß man die Beschichtung durch Plasma-CVD-Verfahren, insbesondere Plasma-Impuls-CVD-Verfahren aufbringt.","A process according to claim 8, wherein the coating is applied by plasma pulse CVD processes."
"Unter Umständen kann die Verbindung dann undicht werden oder sich lösen.","The connection may then become untight or may loosen."
"Dies bedeutet, dass keine Überschüsse an Alkylierungsmittel (4) eingesetzt werden müssen, um eine nahezu quantitative Quaternierung zu erreichen, und daher im Endprodukt keine toxischen Alkylierungsmittel (4) enthalten sind.","As a result, no excesses of alkylating agent (4) have to be used to achieve an almost quantitative quaternization and therefore there are no toxic alkylating agents (4) in the end product."
"Durch Veränderung des Verhältnisses zwischen den beiden, den beiden Ventilstellungen zugehörigen Volumina der Druckkammer ist die Hemmkraft justierbar.","By changing the conditions between two portions of the pressure chamber associated with the two valve positions, it is possible to adjust the restraining force."
"Dazu wird das Ethylencopolymerisat in den gekühlten, mit Stickstoff überlagerten Einzug des Extruders dosiert und bei Temperaturen von 140-180°C vorzugsweise bei 140-160°C, aufgeschmolzen. In die Schmelze wird die Metallsalzlösung eingepumpt und homogen eingemischt und zum Ionomeren umgesetzt (Reaktionszone = erste Zone).","For this purpose, the ethylene copolymer is metered into the cooled extruder feed blanketed with nitrogen and is melted at 140°-180° C., preferably 140°-160° C. The metal salt solution is pumped into the melt, mixed in homogeneously and reacted to give the ionomer (reaction zone=first zone)."
"Dazu kann der Rezeptor R₁ entweder direkt oder über einen Spacer an der Festphase gebunden sein oder aber in löslicher Form vorliegen und erst nach Durchführung der immunologischen Reaktion immobilisiert werden.","For this receptor R1 can either be directly bound to the solid phase or via a spacer, or else it can be present in a soluble form and not be immobilized until after the immunological reaction has been carried out."
"Die dekomprimierten Datensegmente werden dann durch den Kompressions-Decoder 22 in dem Speicher 12 abgelegt.","The decompressed data segments are then written into the memory 12 ."
"1 zeigt eine Perspektivenansicht des distalen Endstücks des erfindungsgemäßen Endoskops;","1 shows a perspective view of the distal end piece of the endoscope according to the invention;"
"Werden derartige Schäden nicht unmittelbar bemerkt, kann es zu sehr hohen Folgeschäden kommen.","If such damage is not noticed, immediately very high consequential damage can occur."
"Zu diesem Zweck kann die Steuereinheit 2 über Anschluss 4 ein Signal empfangen, das Auskunft über die Stärke des Luftstroms gibt und vom Gebläse oder von einer anderen Komponente des Fahrzeugs abgegeben wird.","For this purpose, the control unit 2 can receive via the terminal 4 a signal which provides information on the intensity of the air current and which is emitted by the blower or by some other component of the vehicle."
"Der Transistor mit dem positiv geladenen Floating-Gate leitet nicht, der Transistor mit dem negativ geladenen Floating-Gate ist leitend.","The transistor having the positively charged floating gate does not conduct, while the transistor having the negatively charged floating gate is conducting."
"Aus dieser Leistungsbestimmung ist wiederum auf das Bremsmoment an der Trommel rückschließbar.","From this capacity determination, a conclusion can in turn be drawn about the braking moment at the drum."
"Ein weiterer Gegenstand der vorliegenden Erfindung ist die Verwendung der Farbkonverter zur Konversion von durch LEDs erzeugtem Licht.","The present invention further provides for the use of the color converters for conversion of light generated by LEDs."
"Diese Verbindungen können auch durch ""kapazitives Koppeln"" hergestellt werden, wobei Ladungen in das Niederhaltegitter induziert werden, und zwar durch die Verschiebung von Elektronen und elektronenfreien Stellen (Löchern) mittels Kondensatorplatten (nicht gezeigt), die sich in nächster Nähe des Gitters an einer geeigneten Stelle, z.B. am Ende der Bandschlaufe, wo diese sich um die Walze 12 oder 13 dreht, befinden.","Those connections can also be achieved by ""capacitive coupling"", whereby charges are induced into the hold down grid by the displacement of electrons and holes using capacitor plates (not shown) located in close proximity to the grid at some convenient location such as at the end of the belt loop where it turns around the roller 12 or 13."
"Ca. 8 cm hohe Gerstenpflanzen werden mit einer aus Spritzpulver des Wirkstoffes hergestellten Spritzbrühe (0,02 % Aktivsubstanz) besprüht.","Barley plants about 8 cm in height were sprayed with a spray mixture (0.02%) prepared from a wettable powder formulation of the test compound."
"Die erfindungsgemäßen Zusammensetzungen sind in vorteilhafter Weise zur Reduzierung der Haarschädigung in Haarfärbeformulierungen geeignet.","The inventive compositions are advantageously suitable for reducing hair damage in hair coloring formulations."
"In einem weiteren Ausführungsbeispiel wird die Bestimmung der Punktes P aus den Grauwertbildern 101, 102 mit der Bestimmung aus der 3D-Punktwolke kombiniert und so die Robustheit und/oder Genauigkeit des Verfahrens noch weiter verbessert.","In a further exemplary embodiment, the determination of the point P from the grayscale images 101, 102 is combined with the determination from the 3-D cloud diagram and in this way the robustness and/or accuracy of the method is improved even further."
"In Parkstellung des Kraftfahrzeuges, das bedeutet, wenn der Benutzer das Kraftfahrzeug verlassen und verriegelt hat, befindet sich das Schutzelement in seiner Schließstellung, wodurch das Betätigungselement und die Kamera zuverlässig geschützt sind.","In the parked position of the vehicle, which means when the user has left the vehicle and locked it, the protective element is situated in its closed position so that the activation element and the camera are reliably protected."
"Diese Technologie beinhaltet die Möglichkeit, die Rezeptur des in Schritt ii) eingefüllten Wasch- oder Reinigungsmittels zu ändern, ohne das Verfahren adaptieren zu müssen.","This technology includes the possibility of altering the formula of the detergent introduced in step ii) without having to adapt the process."
"In einer Weiterbildung der Erfindung ist das Tragelement als Bodenplatte, vorzugsweise als Membran eines die Spulenaufnahme und die Magnetaufnahme aufnehmenden topfförmigen Gehäuses ausgebildet, wobei je nach Ausführung entweder die Spulenaufnahme oder die Magnetaufnahme fest mit dem Gehäuse verbunden ist.","In a further development of the invention, the carrying element is designed as a bottom plate, preferably as a membrane of a pot-shaped housing acconunodating the coil receptacle and the magnet receptacle, with either the coil receptacle or the magnet receptacle being firmly attached to the housing, depending on the model."
"Bei dieser Positionierung kann Restwasser aus den Kammern der Differenzdruckdose unter Schwerkraftwirkung abfließen.","With this positioning, residual water can flow out of the chambers of the differential-pressure fluid gauge chamber due to the effect of gravity."
"Uber das Zufuhrelement können dann die Bauelemente durch die erste Öffnung in den Kanal eingebracht und damit die Speichereinrichtung befüllt werden.","Via the feeding element the components can then be inserted into the channel through the first opening and the storage arrangement can be filled in this manner."
"Die Nitroverbindung der Stufe 1 wird in Ethanol gelöst und mit Wasserstoff an Platin katalytisch hydriert.","The nitro compound of step 1 is dissolved in ethanol and catalytically hydrogenated with hydrogen in platinum."
"Figur 2 erläutert in einem Flussdiagramm die Erfindung.","FIG. 2 elucidates the present invention in a flow chart."
"Das aufgeschmolzene erste Material des Verbindungskörpers liegt dabei nach dem Abkühlen an der Wandung des Spritzenkörpers und um die Kanüle derart an, dass die Kanüle hermetisch dicht in den Spritzenkörper eingefügt ist.","The fused first material of the connecting body, after having been cooled, engages the wall of the syringe body and fits around the needle so that the needle is fitted into the syringe body by a hermetically sealing bond."
"Dies ist beispielsweise dann wichtig, wenn durch eine hängende Last die Motorwelle ungesteuert weiterbewegt wird.","This is important, for example, when a suspended load continues to move the motor shaft uncontrolled."
"In gleicher Weise werden dadurch auch Punch-through- bzw. Latch-up-Effekte zuverlässig verhindert.","Punch-through or latch-up effects are thereby also reliably prevented in the same way."
"Die elektrische Heizung zur Aufheizung und Austrocknung des regenerierbaren Granulates wird dabei nur dann betätigt, wenn sowohl der Feuchtigkeitssensor das Überschreiten eines Feuchtegrenzwertes signalisiert als auch zusätzlich sichergestellt ist, dass aktuell keine Luftströmung hin zum Ölausdehnungsgefäß erfolgt.","The electric heater for heating up and drying the regenerable granules is only actuated here when the moisture sensor signals that a moisture limit has been exceeded and also when there is no air flowing into the oil expansion tank."
"Die Abzweigung für den zweiten Seitenkanal liegt in diesem Fall vorzugsweise zwischen Strömungswiderstandselement 14 und Stausonde 12.","The branch for the second side duct may lie between flow resistance element 14 and Pitot probe 12 ."
"Diese aufwendige Beschichtung ist notwendig, um einen ausreichenden Korrosionsschutz zu gewährleisten.","This complex coating is needed in order to ensure sufficient corrosion protection."
"Es ist deshalb bevorzugt, eine die Winkelsymmetrie der Schnittfläche beschreibende Symmetriezahl zu ermitteln und die Zahl der Achsen gleich der Symmetriezahl zu wählen.","It is therefore preferred to determine a symmetry number describing the angular symmetry of the cutting surface and to select the number of the axes equal to the symmetry number."
"Nach Zugabe von 0,5 ml konz. Schwefelsäure erhitzt man 15 Stunden zum Sieden, wobei über eine Kolonne das entstehende Wasser abgenommen wird.","After addition of 0.5 cc of concentrated sulfuric acid, the batch is refluxed for 15 hours, while distilling off the water which has formed via a column."
"thermische Behandlung von Neopentasilan Si(SiH 3) 4: ca. 10 g Neopentasilan werden in eine Glasapparatur gegeben und 480 Minuten auf 154 °C erhitzt. Es entsteht ein Hydridosilan, das gemäß GPC-Messung nach Abkühlen ein gewichtsmittleres Molekulargewicht von 2.200 g/mol aufweist.","about 10 g of neopentasilane are introduced into a glass apparatus and heated to 154° C. for 480 minutes to obtain a hydridosilane which, according to GPC measurement after cooling down, has a weight average molecular weight of 2200 g/mol."
"für einen gesättigten oder einfach oder mehrfach ungesättigten, linearen Alkylrest mit 10 bis 18 C-Atomen, der gegebenenfalls durch -CO- substituiert sein kann, insbesondere einen unsubstituierten, gesättigten linearen Alkylrest mit 12 bis 14 C-Atomen,","R is a saturated or mono- or polyunsaturated linear alkyl group containing 10 to 18 carbon atoms, which may optionally be substituted by --CO--,"
"Die besondere Strömungsführung des Zapfluftstroms und des verdichteten Umgebungsluftstroms durch diese Systemkomponenten ergibt ein Klimatisierungssystem mit effektiver Wasserabscheidung, das einen hohen Wirkungsgrad aufweist, wobei die Triebwerkleistung nur wenig beeinträchtigt ist und wobei das System kompakt und wenig komplex bei geringem Gewicht ausgeführt werden kann, zumal keine zusätzlichen Komponenten benötigt werden.","The particular flow guiding of the tapped airflow and of the compressed ambient airflow by means of this system produces an air-conditioning system with effective water extraction that is highly efficient, in connection with which the power unit capacity is only affected a little and the system can be designed compact, not complex and with low weight, especially since no additional components are needed."
"3 dargestellte Schaltungsanordnung nur eine von vielen möglichen Schaltungsanordnungen ist, die zur Ausführung der beschriebenen Funktionen realisierbar sind.","3 is only one of many possible circuit arrangements that may be realized to perform the functions described above."
"Die Einrichtung der Chipkarte für die kontaktbehaftete Kommunikation kann umfassen, dass die Chipkarte Kontakte aufweist, die von außen kontaktierbar sind, z.B. weil sie an einer Oberfläche der Chipkarte angeordnet sind.","The configuration of the chip card for contact-based communication may involve the chip card having contacts which can be contacted from the outer side, for example, since they are arranged on a surface of the chip card."
"Die Kontur der Schneidkante zeichnet sich insbesondere durch die geschwungenen Abschnitte aus.","The contour of the cutting edge is characterized particularly by the curved sections."
"In den noch unveröffentlichten deutschen Patentanmeldungen P 41 42 691.6 und P 41 42 692.4 werden demgegenüber heißsiegelfähige Kunststoff-Folien auf Basis Polystyrolverträglicher Methacrylate beschrieben, wobei die Folien aus einer Formmasse mit zweiphasigem Aufbau bestehen, bei der die Zähphasenpfropfäste und die ungepfropften Anteile mit Polystyrol verträglich sind.","Unfortunately, multilayer films are expensive, difficult to dispose of properly and cannot be recycled. A heat-sealable film which is suitable for gastight sealing of plastic containers, particularly polystyrene containers, in a homogeneous layer and without additional surface treatment, is described in German Patent Applications P 41 42 691.6 and P 41 42 692.4."
"Verfahren nach einem der Ansprüche 1 bis 7, wobei das zweite Medieninhaltelement auf Basis einer Ähnlichkeit zwischen dem ersten und dem zweiten Medieninhaltelement in Bezug auf ein beliebiges aus der Gruppe, bestehend aus Genre, Künstler, Stimmung, Sound, Tempo, Lautstärke und Tonart mit dem ersten Medieninhaltelement in Zusammenhang steht.","The method (600) of any of claims 13-17, wherein performing the media control operation includes presenting media content at the second electronic device, and wherein the media content is being presented by the first electronic device, the method further comprising:"
"Der Organisator und/oder der Moderator können beispielsweise auch die Auswertung der Entscheidungssituation zurücksetzen, falls ein weiterer Tagesordnungspunkt begonnen wird.","The organizer and/or moderator can also reset the assessment of the decision situation if a new item on the agenda is started, for example."
"Hierzu ist eine Keilriemenscheibe frei drehbar auf einer Welle angeordnet, die durch eine Kupplung kraftschlüssig mit der Keilriemenscheibe verbindbar ist.","To this end, a V-belt pulley is disposed on a shaft in a freely rotatable manner that is connectable in a non-positive manner to the V-belt pulley by a clutch."
"Ohne großen technischen Aufwand ist daher kein Mißbrauch und auch keine Nachahmung möglich.","Therefore, no misuse and no counterfeiting is possible unless a large expenditure of technical means is made."
"Die Erfindung betrifft einen bidirektionalen Wechselrichter nach Anspruch 1, insbesondere zur Verwendung in einer Photovoltaikanlage. Bekannt sind bidirektionale Wechselrichter.","The invention relates to a bidirectional inverter for conversion between a direct current and an alternating current, particularly for use in a photovoltaic system."
"Weitere bevorzugte Ausführungsformen der erfindungsgemäßen Abtastphasenregelungsschaltung werden unter Bezugnahme auf die beigefügten Figuren zur Erläuterung erfindungswesentlicher Merkmale beschrieben. Es zeigen:","Further preferred embodiments of the amplitude phase control circuit according to the invention are described with reference to the appended figures in order to explain features which are essential to the invention."
"Nun wird unter leichtem N 2 -Strom auf 65°C erwärmt und während 45 Minuten bei dieser Temperatur weitergerührt.","The reaction mixture is then heated to 65° C. under a weak stream of N2 and further stirred for 45 minutes at this temperature."
"Bei der gemäß der zweiten Alternative der die Vorrichtung betreffenden Erfindung vorgesehenen Meßeinrichtung besteht die Möglichkeit, den tatsächlichen Ist-Abstand zwischen der Achse des Walzenbesens und der zu reinigenden Oberfläche zu bestimmen, und mit Hilfe der weiterhin vorgesehenen Regelanordnung zum Vergleich des Soll-Abstandes mit dem Ist-Abstand und zur Erzeugung einer daraus abgeleiteten Einstellgröße kann der optimale Abstand der Achse festgelegt werden.","With the measuring apparatus according to the second method embodiment, it is possible to determine the actual spacing between the axis of the revolving brush and the surface to be cleaned, and the optimum spacing of the brush axis from the surface can be fixed with the control arrangement additionally provided for comparing the nominal spacing with the actual spacing of the brush axis from the surface to be cleaned and for generating an adjustment derived from such comparison."
"Sie besitzt einen nach unten ragenden Kragen 9, der die Isoliersäule 2 von außen übergreift.","The closure plate 8 includes a downwardly projecting collar 9 which extends over the insulating column 2 from the outside."
"Die Fadenabzugseinrichtungen bestehen dabei entweder, wie beispielsweise in der DE 44 32 240 A1 oder in der DE 39 17 047 A1 beschrieben, aus einer maschinenlangen Antriebswelle, auf der im Bereich der Arbeitsstellen jeweils eine schwenkbar gelagerte Andruckrolle aufliegt, oder die Fadenabzugseinrichtungen weisen jeweils einen einzelmotorischen Antrieb auf.","The yarn draw-off devices consist here either, as described, for example, in German Patent Publication DE 44 32 240 A1 or in German Patent Publication DE 39 17 047 A1, of a drive shaft along the length of the machine, on which a pivotably mounted pressure roller rests in each case in the region of the workstations, or the yarn draw-off devices in each case have a single motor drive."
"7 zeigt einen Schnitt längs der Linie VII-VII der Fig.","7 shows a section along line VII--VII of FIG."
"Ein Verschleiß der vorstehend genannten Art kann wirkungsvoll verhindert werden, falls der Elastomer-Körper des jeweiligen Elastomer-Torsionsfederelements ein oder mehrere durch den Elastomer-Körper durchgehende Löcher aufweist.","Wear and tear of the type mentioned above can be prevented effectively if the elastomer body of the respective elastomer torsion-spring element comprises one or several through-holes in the elastomer body."
"Die Intermediate der Formel (III) können in Abhängigkeit von ihrem Substitutionsmuster beispielsweise dadurch hergestellt werden, dass man entweder","Depending on their substitution pattern, the inter mediates of the formula (Ml) can be prepared, for example, by either"
"B y) Komponenten des transversalen Magnetfeldes zu messen.","B y) components of the transverse magnetic field."
"Es war völlig überraschend, dass entgegen der Richtung der Entwicklung des Standes der Technik eine Vorrichtung zur Nutzung von Erdwärme besonders effizient eingesetzt werden kann, die keine hydraulisch getrennten wasserführenden Schichten bspw. mit verschiedenen Drücken oder verschiedenen Temperaturen nutzt Es lag für den Fachmann nicht nahe, dass er mit der Wasserent-/aufnahme innerhalb eines Horizontes verbleiben kann.","It was completely surprising that, opposed to the prior art direction of development, an apparatus for utilizing geothermal heat, which does not make use of hydraulically separated water-bearing layers having e.g. different pressures or different temperatures, can be used very efficiently. It has not been obvious to a person skilled in the art that water withdrawal/extraction could proceed within a single horizon."
"Beispielsweise seien Mischungen von 20 bis 70 Gew.-% Bis-GMA und 30 bis 80 Gew.-% Triethylenglykoldimethacrylat genannt.","Mixtures of 20 to 70 parts by weight of bis-GMA and 30 to 80 parts by weight of triethylene glycol dimethacrylate may be mentioned as examples."
"Auf diese Weise wird ein weitgehend homogener Hintergrund erreicht und die genannten Ecken des Gehäuses sind im Bild stets hinter dem Behältnis und stören für die Konturfindung nicht.","In this way, a largely homogenous background is achieved and said corners of the housing are always behind the container in the image and will not interfere with the determination of the contour."
"Die Emulsion wird sodann - vorzugsweise mittels einer Pumpe - in den Rohrreaktor eingeführt.","The emsulion is then fed into the tubular reactor, preferably with a pump."
"Um beispielsweise stabile wässrige Dispersionen von Kompositpartikeln bereitzustellen, werden üblicherweise Emulgatoren, Schutzkolloide oder spezielle Additive als Stabilisatoren zugesetzt, wie beispielsweise die in der DE-A 10 2004 010 155 empfohlenen hydroxygruppenhaltigen Alkylamino-Verbindungen.","In order to provide, for example, stable aqueous dispersions of composite particles, emulsifiers, protective colloids or specific additives are typically added as stabilizers, for example the hydroxyl group containing alkylamino compounds recommended in DE-A 10 2004 010 155."
"Optional kann zusätzlich eine definierte Menge eines Füllstoffs 34 in das Bohrloch 22 eingebracht werden.","Optionally, in addition, a definite amount of filling material 34 is also introduced into the borehole 22 ."
"Dabei wird nach der nicht zum stand der Technik gehörenden DE 10 2005 035 476.9 bereits so vorgegangen, dass für das Ausbilden der Verpackung eine Schale mit einem umlaufenden Rand verwendet wird, dass die tiefziehbare Folie auf ein Maß des umlaufenden Randes zugeschnitten wird und dass anschließend oder gleichzeitig die tiefziehbare Folie auf den umlaufenden Rand gasdicht aufgebracht wird.","German Patent Application No. DE 10 2005 035 476.9 already discloses a method whereby a bowl with a peripheral edge is used for packing, the deep-drawable film is cut to the dimension of the peripheral edge, and the deep-drawable film is subsequently or simultaneously applied in a gas-tight manner to the peripheral edge."
